text, translation, context, dialect 
"И уасэр сыт?", "Сколько стоит?", "торговля", "кабардинский", ""
"Дэгъуэ дыдэ", "Отлично", "эмоция", "кабардинский", ""
"Си фо", "Мой мёд", "романтика", "кабардинский", ""
"Уи пщэдджыжь фIыуэ!", "Доброе утро!", "приветствие", "кабардинский", ""
"Уи махуэ фIыуэ!", "Добрый день!", "приветствие", "кабардинский", ""
"Уи пщыхьэщхьэ фIыуэ!", "Добрый вечер!", "приветствие", "кабардинский", ""
"Къеблагъэ!", "Добро пожаловать!", "приветствие", "кабардинский", ""
"ФIыкIэ!", "Всего хорошего!", "прощание", "кабардинский", ""
"Нэху лъэфI укъикI!", "Пусть тебя застанет добрый рассвет!", "прощание", "кабардинский", ""
"Гъуэгу махуэ!", "Счастливого пути!", "прощание", "кабардинский", ""
"Узыншэу ущыт!", "Будь здоров!", "прощание", "кабардинский", ""
"ФIыкIэ Аллыхьым дызэхуигъазэ!", "Пусть Всевышний сведет нас по хорошему поводу!", "прощание", "кабардинский", ""
"ТIыс кхъыIэ", "Садись пожалуйста", "приглашение", "кабардинский", ""
"Ныбжьэгъу", "Друг", "обращение", "кабардинский", ""
"Мыдэ къэдаIуэт", "Послушай", "обращение", "кабардинский", ""
"Кьысхуэгъэгъу", "Прости", "обращение", "кабардинский", ""
"Балигъыдзэ", "Зуб мудрости", "анатомия", "кабардинский", ""
"Бгы зэрытыпIэ", "Поясничный сустав", "анатомия", "кабардинский", ""
"Бгъэ", "Грудь", "анатомия", "кабардинский", ""
"Бгъэгу", "Грудная клетка", "анатомия", "кабардинский", ""
"Бзэгупэ", "Кончик языка", "анатомия", "кабардинский", ""
